ID,FIRST_NAME,LAST_NAME,BIRTHDATE,SCHOOL,COUNTRY,HEIGHT,WEIGHT,SEASON_EXP,JERSEY,POSITION,DRAFT_ROUND,DRAFT_NUMBER,PTS,AST,REB
76001,Alaa,Abdelnaby,1968-06-24T00:00:00,Duke,USA,82.0,240.0,4,30,Forward,1,25,5.7,0.3,3.3
76002,Zaid,Abdul-Aziz,1946-04-07T00:00:00,Iowa State,USA,81.0,235.0,9,54,Center,1,5,9.0,1.2,8.0
76003,Kareem,Abdul-Jabbar,1947-04-16T00:00:00,UCLA,USA,86.0,225.0,19,33,Center,1,1,24.6,3.6,11.2
51,Mahmoud,Abdul-Rauf,1969-03-09T00:00:00,Louisiana State,USA,73.0,162.0,8,1,Guard,1,3,14.6,3.5,1.9
1505,Tariq,Abdul-Wahad,1974-11-03T00:00:00,San Jose State,France,78.0,235.0,6,9,Forward-Guard,1,11,7.8,1.1,3.3
949,Shareef,Abdur-Rahim,1976-12-11T00:00:00,California,USA,81.0,245.0,12,3,Forward,1,3,18.1,2.5,7.5
76005,Tom,Abernethy,1954-05-06T00:00:00,Indiana,USA,79.0,220.0,4,5,Forward,3,43,5.6,1.2,3.2
76006,Forest,Able,1932-07-27T00:00:00,Western Kentucky,USA,75.0,180.0,0,6,Guard,None,None,0.0,1.0,1.0
76007,John,Abramovic,1919-02-09T00:00:00,Salem,USA,75.0,195.0,1,,Forward,Undrafted,Undrafted,9.5,0.7,
203518,Alex,Abrines,1993-08-01T00:00:00,FC Barcelona,Spain,78.0,200.0,2,,Guard,2,32,5.3,0.5,1.4
101165,Alex,Acker,1983-01-21T00:00:00,Pepperdine,USA,77.0,185.0,2,3,Guard,2,60,2.7,0.5,1.0
76008,Donald,Ackerman,1930-09-04T00:00:00,Long Island-Brooklyn,USA,72.0,183.0,0, ,Guard,2,None,1.5,0.8,0.5
76009,Mark,Acres,1962-11-15T00:00:00,Oral Roberts,USA,83.0,220.0,5,42,Center,2,40,3.6,0.5,4.1
76010,Charles,Acton,1942-01-11T00:00:00,Hillsdale,USA,78.0,210.0,0,24,Forward,Undrafted,Undrafted,3.3,0.5,2.0
203112,Quincy,Acy,1990-10-06T00:00:00,Baylor,USA,79.0,240.0,6,,Forward,2,37,4.9,0.6,3.5
76011,Alvan,Adams,1954-07-19T00:00:00,Oklahoma,USA,81.0,210.0,12,33,Center,1,4,14.1,4.1,7.0
76012,Don,Adams,1947-11-27T00:00:00,Northwestern,USA,79.0,210.0,6,10,Forward,8,120,8.7,1.8,5.6
200801,Hassan,Adams,1984-06-20T00:00:00,Arizona,USA,76.0,220.0,1,,Forward,2,54,2.5,0.2,1.2
1629121,Jaylen,Adams,1996-05-04T00:00:00,St. Bonaventure,USA,72.0,225.0,2,,Guard,Undrafted,Undrafted,0.3,0.3,0.4
203919,Jordan,Adams,1994-07-08T00:00:00,UCLA,USA,77.0,209.0,2,3,Guard,1,22,3.2,0.6,0.9
